trade_date,top_n,cash,holdings_value,equity,turnover,gross_return,net_return,cost,benchmark_return
20240104,10,0.0,1803346.6630045513,1803346.6630045513,1.1813599855463762e-30,-0.0027283991117822426,-0.0027283991117822426,2.7233480572932607e-27,-0.00924880171137099
20240105,10,-4.078315292499078e-56,1700348.0507031137,1700348.0507031137,6.268341628878206e-46,-0.05711525932004213,-0.05711525932004213,1.4137059728626844e-42,-0.005360090173683885
20240108,10,-4.078315292499078e-56,1612269.2967785432,1612269.2967785432,0.0,-0.051800426323392434,-0.051800426323392434,0.0,-0.012932880527818824
20240109,10,1.7462298274040222e-10,1526521.0811065426,1526521.0811065428,1.9902845626849155,-0.05069569700298837,-0.053184797256471295,4013.099915294144,0.0019607088910587045
20240110,10,-3.101927297073854e-25,1563431.9597141847,1563431.9597141847,1.947327382396797e-15,0.0241797372237309,0.0241797372237309,3.630299034452941e-12,-0.004668307608499567
20240111,10,-1.3775324423698682e-40,1571987.5113509463,1571987.5113509463,1.0210587479422354e-30,0.005472289077629977,0.005472289077629977,2.1516170224632253e-27,0.005658214858188293
20240112,10,0.0,1368548.8048016895,1368548.8048016895,5.930162094106275e-46,-0.12941496359244242,-0.12941496359244242,1.2347615969446956e-42,-0.0034909423775431048
20240115,10,0.0,1288401.9571111354,1288401.9571111354,0.0,-0.05856338291287155,-0.05856338291287155,0.0,-0.0009887439635754003
20240116,10,-1.7462298274040222e-10,1410604.3273975914,1410604.3273975912,2.0007067135856684,0.09735015111424605,0.09484801665503428,3223.754934203555,0.006082654572902468
20240117,10,-1.0339757656912846e-25,1385665.2796741696,1385665.2796741696,1.8963548100728778e-15,-0.017679690356140698,-0.017679690356140698,3.4327857609632312e-12,-0.02175004321579832
20240118,10,4.591774807899561e-41,1448196.0078671386,1448196.0078671386,7.806052744180723e-31,0.045126863687941166,0.045126863687941166,1.4044730571777157e-27,0.014136091929533023
20240119,10,1.2234945877497233e-55,1575095.909424069,1575095.909424069,6.0809406204203605e-46,0.08762619208143319,0.08762619208143319,1.0783795570602683e-42,-0.0015122779945794251
20240122,10,0.0,1511828.0576834052,1511828.0576834052,7.76192514496387e-62,-0.04016761859523699,-0.04016761859523699,9.169332408816312e-59,-0.015559076625517143
20240123,10,0.0,1534752.5219158968,1534752.5219158968,1.970880509967549,0.017628240106782656,0.015163407052796174,3726.403768522159,0.004048368549072645
20240124,10,3.101927297073854e-25,1532726.5030668,1532726.5030668,1.7982310429699677e-15,-0.0013200948166989246,-0.0013200948166989246,3.4515252978809548e-12,0.01397801297174217
20240125,10,1.8367099231598242e-40,1558202.1424528467,1558202.1424528467,8.879362253726257e-31,0.016621125383473823,0.016621125383473823,1.5468813078773945e-27,0.020081725083960444
20240126,10,1.2234945877497233e-55,1519158.6561141661,1519158.6561141661,7.221293941995073e-46,-0.02505675308417954,-0.02505675308417954,1.3153516411248815e-42,-0.002721453996386236
20240129,10,0.0,1451185.7189215303,1451185.7189215303,2.3860760965480636e-61,-0.04474380402538258,-0.04474380402538258,3.921248525660583e-58,-0.008956958790802605
20240130,10,1.1641532182693481e-10,1476793.7667225464,1476793.7667225464,1.9784411881432635,0.02012058122121463,0.017646292591720902,3590.652323611367,-0.017833658054739354
20240131,10,1.0339757656912846e-25,1563381.5821697426,1563381.5821697426,1.7745054975955259e-15,0.05863230018864507,0.05863230018864507,3.2191252240285005e-12,-0.00914839628877162
20240201,10,-1.3775324423698682e-40,1524852.1764695216,1524852.1764695216,1.1398477491189823e-30,-0.02464491467703478,-0.02464491467703478,2.1769108889727397e-27,0.0007336988755008989
20240202,10,0.0,1469938.6510718665,1469938.6510718665,7.091528698216512e-46,-0.03601235991595986,-0.03601235991595986,1.4212788828063362e-42,-0.011835525683802195
20240205,10,1.8111358157653425e-71,1424539.4497367246,1424539.4497367246,2.8571132218089362e-61,-0.030885099389717507,-0.030885099389717507,5.252352620341948e-58,0.006539822462227951
20240206,10,1.7462298274040222e-10,1372796.3289296366,1372796.3289296369,1.9547803216727169,-0.03387800346776826,-0.03632270121873471,3482.568388934255,0.034767417219817576
20240207,10,1.0339757656912846e-25,1265970.3965899437,1265970.3965899437,2.178839706791964e-15,-0.07781630099709325,-0.07781630099709325,3.653394144214575e-12,0.009644042402249697
20240208,10,-4.591774807899561e-41,1426467.439024834,1426467.439024834,1.3898952708233892e-30,0.12677787953589603,0.12677787953589603,2.14883346247514e-27,0.006370142057870565
20240219,10,6.117472938748617e-56,1621693.245494835,1621693.245494835,5.669264381432455e-46,0.13685963039118643,0.13685963039118643,1.034353681297229e-42,0.011553911512623749
20240220,10,-6.372367644529809e-57,1757866.3864556723,1757866.3864556723,4.758122951038635e-47,0.08396972814626613,0.08396972814626613,9.650094861097178e-44,0.002070152139612702
20240221,10,-5.820766091346741e-11,1817248.6967794665,1817248.6967794665,1.9552512792504186,0.03622618771496189,0.03378090097252762,4298.487369770841,0.0134913711644431
20240222,10,-3.101927297073854e-25,1895850.8346570001,1895850.8346570001,2.028977082528866e-15,0.04325337418969277,0.04325337418969277,4.640368963714822e-12,0.00862149539671897
20240223,10,-4.591774807899561e-41,2040171.8348498992,2040171.8348498992,1.1783443943651502e-30,0.07612465999679219,0.07612465999679219,2.949027383008406e-27,0.0008796060039670817
